Comparison between classic and sampling approaches for the file in https://ftp.uniprot.org/pub/databases/uniprot/current_release/rdf/uniprotkb_reviewed_eukaryota_opisthokonta_metazoa_33208_0.rdf.xz using a 10000 instances per shape sample


SHARED_SHAPES;116
SHAPES_ONLY_IN_1;0
SHAPES_ONLY_IN_2;0


Concept;Absolute value;Ratio;Concept explanation
SHAPES_COMPLETELY_EQUAL;33;0.28448275862068967;Number of shapes completely equal in both files
SHAPES_EQUAL_CONSTRAINT;25;0.21551724137931033;Number of shapes with equal constraints w.r.t. validation, but some ended up having a different number of annotated instances
SHAPES_EQUAL_P_O_PAIRS;1;0.008620689655172414;Number of shapes whose constraints have always the same predicate and node constraint, but at least one with different cardinality
SHAPES_EQUAL_PROPERTY;49;0.4224137931034483;Number of shapes whose constraints have always the same predicate, but at least one has a different node constraint
SHAPES_DIFFERENT_CONSTRAINTS;8;0.06896551724137931;Number of shapes including constraints that are not in both versions of the shape
CONSTRAINTS_COMPLETELY_EQUAL;236;0.5856079404466501;Number of constraints completely equal in both files
CONSTRAINTS_VALIDATION_EQUAL;98;0.24317617866004962;Number of equal constraints but with a different number of annotated instances
CONSTRAINTS_P_O_EQUAL;5;0.01240694789081886;Number of constraints that have the same predicate and node constraint, but different cardinality
CONSTRAINTS_PROPERTY_EQUAL;54;0.13399503722084366;Number of constraints that have the same predicate, but different node constraint
CONSTRAINTS_DIFFERENT;5;0.01240694789081886;Number of constraints that are not in both versions of the shape
CONSTRAINTS_PER_SHAPE_COMPLETELY_EQUAL;2.0344827586206895;0.5929648241206029;Average constraints in a shape that are completely equal in both files
CONSTRAINTS_PER_SHAPE_VALIDATION_EQUAL;0.8448275862068966;0.24623115577889446;Average constraints in a shape that are equal constraints but with a different number of annotated instances
CONSTRAINTS_PER_SHAPE_P_O_EQUAL;0.04310344827586207;0.012562814070351758;Average constraints in a shape that have the same predicate and node constraint, but different cardinality
CONSTRAINTS_PER_SHAPE_PROPERTY_EQUAL;0.46551724137931033;0.13567839195979897;Average constraints in a shape that have the same predicate, but different node constraint
CONSTRAINTS_PER_SHAPE_DIFFERENT;0.04310344827586207;0.012562814070351758;Average constraints in a shape that are not in both versions of the shape


CONSTRAINTS ONLY IN SHAPES OF THE SCHEMA 1:
Shape;predicate;node constraint
:Statement;<http://purl.uniprot.org/core/citation>;IRI
:Statement;<http://purl.uniprot.org/core/context>;IRI
:Protein;<http://purl.uniprot.org/core/component>;@:Part
:Simple_Sequence;<http://purl.uniprot.org/core/fragment>;xsd:string
:Subcellular_Location_Annotation;<http://purl.uniprot.org/core/sequence>;IRI
